EventID,Coincidence,HitTop,HitMiddle,HitBottom,Decay,DecayTime_ns
323,NONE,0,0,0,False,-1
324,NONE,0,0,0,False,-1
325,NONE,0,0,0,False,-1
326,NONE,0,0,0,False,-1
327,DOUBLE,1,1,0,False,-1
328,DOUBLE,1,1,0,False,-1
329,NONE,0,0,0,False,-1
330,NONE,0,0,0,False,-1
331,NONE,0,0,0,False,-1
332,NONE,0,0,0,False,-1
333,NONE,0,0,0,False,-1
334,NONE,0,0,0,False,-1
335,DOUBLE,1,1,0,False,-1
336,NONE,0,0,0,False,-1
337,SINGLE,1,0,0,False,-1
338,SINGLE,0,0,1,False,-1
339,DOUBLE,1,1,0,False,-1
340,NONE,0,0,0,False,-1
341,NONE,0,0,0,False,-1
342,NONE,0,0,0,False,-1
343,NONE,0,0,0,False,-1
344,NONE,0,0,0,False,-1
345,NONE,0,0,0,False,-1
346,DOUBLE,1,1,0,False,-1
347,NONE,0,0,0,False,-1
348,NONE,0,0,0,False,-1
349,DOUBLE,1,1,0,False,-1
350,NONE,0,0,0,False,-1
351,DOUBLE,1,1,0,False,-1
352,DOUBLE,1,1,0,False,-1
353,SINGLE,0,1,0,False,-1
354,NONE,0,0,0,False,-1
355,NONE,0,0,0,False,-1
356,SINGLE,0,0,1,False,-1
357,SINGLE,0,1,0,True,817.247
358,NONE,0,0,0,False,-1
359,DOUBLE,1,1,0,False,-1
360,SINGLE,1,0,0,False,-1
361,NONE,0,0,0,False,-1
362,DOUBLE,1,1,0,False,-1
363,DOUBLE,1,1,0,False,-1
364,DOUBLE,1,1,0,False,-1
365,DOUBLE,1,1,0,False,-1
366,DOUBLE,1,1,0,False,-1
367,NONE,0,0,0,False,-1
368,NONE,0,0,0,False,-1
369,NONE,0,0,0,False,-1
370,DOUBLE,1,1,0,False,-1
371,DOUBLE,1,1,0,False,-1
372,NONE,0,0,0,False,-1
373,NONE,0,0,0,False,-1
374,DOUBLE,1,1,0,False,-1
375,NONE,0,0,0,False,-1
376,SINGLE,0,0,1,False,-1
377,NONE,0,0,0,False,-1
378,NONE,0,0,0,False,-1
379,DOUBLE,1,1,0,False,-1
380,SINGLE,0,0,1,False,-1
381,NONE,0,0,0,False,-1
382,NONE,0,0,0,False,-1
383,NONE,0,0,0,False,-1
384,DOUBLE,1,1,0,False,-1
385,NONE,0,0,0,False,-1
386,NONE,0,0,0,False,-1
387,NONE,0,0,0,False,-1
388,DOUBLE,1,1,0,False,-1
389,NONE,0,0,0,False,-1
390,NONE,0,0,0,False,-1
391,NONE,0,0,0,False,-1
392,NONE,0,0,0,False,-1
393,DOUBLE,1,1,0,False,-1
394,NONE,0,0,0,False,-1
395,SINGLE,0,0,1,False,-1
396,NONE,0,0,0,False,-1
397,NONE,0,0,0,False,-1
398,NONE,0,0,0,False,-1
399,DOUBLE,1,1,0,False,-1
400,NONE,0,0,0,False,-1
401,NONE,0,0,0,False,-1
402,NONE,0,0,0,False,-1
403,SINGLE,0,0,1,False,-1
404,NONE,0,0,0,False,-1
405,NONE,0,0,0,False,-1
406,SINGLE,0,0,1,False,-1
407,NONE,0,0,0,False,-1
408,DOUBLE,1,1,0,False,-1
409,NONE,0,0,0,False,-1
410,NONE,0,0,0,False,-1
411,SINGLE,0,0,1,False,-1
412,DOUBLE,1,1,0,False,-1
413,DOUBLE,1,1,0,False,-1
414,NONE,0,0,0,False,-1
415,DOUBLE,1,1,0,False,-1
416,SINGLE,0,0,1,False,-1
417,SINGLE,1,0,0,False,-1
418,NONE,0,0,0,False,-1
419,NONE,0,0,0,False,-1
420,NONE,0,0,0,False,-1
421,DOUBLE,1,1,0,False,-1
422,DOUBLE,1,1,0,False,-1
423,DOUBLE,1,1,0,False,-1
424,NONE,0,0,0,False,-1
425,NONE,0,0,0,False,-1
426,NONE,0,0,0,False,-1
427,NONE,0,0,0,False,-1
428,DOUBLE,1,1,0,False,-1
429,NONE,0,0,0,False,-1
430,DOUBLE,1,1,0,False,-1
431,NONE,0,0,0,False,-1
432,NONE,0,0,0,False,-1
433,SINGLE,0,0,1,False,-1
434,NONE,0,0,0,False,-1
435,NONE,0,0,0,False,-1
436,NONE,0,0,0,False,-1
437,DOUBLE,1,1,0,False,-1
438,NONE,0,0,0,False,-1
439,NONE,0,0,0,False,-1
440,NONE,0,0,0,False,-1
441,SINGLE,0,0,1,False,-1
442,NONE,0,0,0,False,-1
443,NONE,0,0,0,False,-1
444,DOUBLE,1,1,0,False,-1
445,SINGLE,0,0,1,False,-1
446,NONE,0,0,0,False,-1
447,NONE,0,0,0,False,-1
448,NONE,0,0,0,False,-1
449,DOUBLE,1,1,0,False,-1
450,NONE,0,0,0,False,-1
451,NONE,0,0,0,False,-1
452,TRIPLE,1,1,1,False,-1
453,NONE,0,0,0,False,-1
454,NONE,0,0,0,False,-1
455,SINGLE,0,0,1,False,-1
456,NONE,0,0,0,False,-1
457,SINGLE,0,0,1,False,-1
458,SINGLE,0,0,1,False,-1
459,NONE,0,0,0,False,-1
460,NONE,0,0,0,False,-1
461,SINGLE,1,0,0,False,-1
462,NONE,0,0,0,False,-1
463,NONE,0,0,0,False,-1
464,NONE,0,0,0,False,-1
465,NONE,0,0,0,False,-1
466,NONE,0,0,0,False,-1
467,NONE,0,0,0,False,-1
468,SINGLE,0,0,1,False,-1
469,SINGLE,0,0,1,False,-1
470,NONE,0,0,0,False,-1
471,SINGLE,0,0,1,False,-1
472,NONE,0,0,0,False,-1
473,NONE,0,0,0,False,-1
474,DOUBLE,1,1,0,False,-1
475,DOUBLE,1,1,0,False,-1
476,SINGLE,0,1,0,False,-1
477,SINGLE,1,0,0,False,-1
478,NONE,0,0,0,False,-1
479,NONE,0,0,0,False,-1
480,NONE,0,0,0,False,-1
481,NONE,0,0,0,False,-1
482,SINGLE,0,0,1,False,-1
483,DOUBLE,1,1,0,False,-1
484,SINGLE,0,0,1,False,-1
485,DOUBLE,1,1,0,False,-1
486,NONE,0,0,0,False,-1
487,NONE,0,0,0,False,-1
488,NONE,0,0,0,False,-1
489,NONE,0,0,0,False,-1
490,SINGLE,0,0,1,False,-1
491,DOUBLE,1,1,0,False,-1
492,NONE,0,0,0,False,-1
493,SINGLE,0,0,1,False,-1
494,NONE,0,0,0,False,-1
495,DOUBLE,1,1,0,False,-1
496,SINGLE,0,0,1,False,-1
497,DOUBLE,1,1,0,False,-1
498,NONE,0,0,0,False,-1
499,SINGLE,0,0,1,False,-1
500,DOUBLE,1,1,0,False,-1
501,NONE,0,0,0,False,-1
502,NONE,0,0,0,False,-1
503,NONE,0,0,0,False,-1
504,NONE,0,0,0,False,-1
