EventID,Coincidence,PartenopeHit,MinervaHit,GiunoneHit,Decay,DecayTime_ns
316,SINGLE,1,0,0,False,-1
317,SINGLE,1,0,0,False,-1
318,DOUBLE,1,1,0,False,-1
319,SINGLE,1,0,0,False,-1
320,DOUBLE,1,1,0,False,-1
321,SINGLE,1,0,0,False,-1
322,TRIPLE,1,1,1,False,-1
323,TRIPLE,1,1,1,False,-1
324,DOUBLE,1,1,0,False,-1
325,TRIPLE,1,1,1,False,-1
326,DOUBLE,1,1,0,False,-1
327,SINGLE,1,0,0,False,-1
328,TRIPLE,1,1,1,False,-1
329,TRIPLE,1,1,1,False,-1
330,TRIPLE,1,1,1,False,-1
331,DOUBLE,1,1,0,False,-1
332,TRIPLE,1,1,1,False,-1
333,SINGLE,1,0,0,False,-1
334,SINGLE,1,0,0,False,-1
335,SINGLE,1,0,0,False,-1
336,TRIPLE,1,1,1,False,-1
337,TRIPLE,1,1,1,False,-1
338,TRIPLE,1,1,1,False,-1
339,DOUBLE,1,1,0,False,-1
340,TRIPLE,1,1,1,False,-1
341,DOUBLE,1,1,0,False,-1
342,DOUBLE,1,1,0,False,-1
343,TRIPLE,1,1,1,False,-1
344,DOUBLE,1,1,0,False,-1
345,TRIPLE,1,1,1,False,-1
346,TRIPLE,1,1,1,False,-1
347,TRIPLE,1,1,1,False,-1
348,DOUBLE,1,1,0,False,-1
349,TRIPLE,1,1,1,False,-1
350,DOUBLE,1,1,0,False,-1
351,TRIPLE,1,1,1,False,-1
352,TRIPLE,1,1,1,False,-1
353,TRIPLE,1,1,1,False,-1
354,DOUBLE,1,1,0,False,-1
355,DOUBLE,1,1,0,False,-1
356,TRIPLE,1,1,1,False,-1
357,TRIPLE,1,1,1,False,-1
358,TRIPLE,1,1,1,False,-1
359,TRIPLE,1,1,1,False,-1
360,DOUBLE,1,1,0,False,-1
361,TRIPLE,1,1,1,False,-1
362,TRIPLE,1,1,1,False,-1
363,TRIPLE,1,1,1,False,-1
364,TRIPLE,1,1,1,False,-1
365,TRIPLE,1,1,1,False,-1
366,TRIPLE,1,1,1,False,-1
367,DOUBLE,1,1,0,False,-1
368,TRIPLE,1,1,1,False,-1
369,DOUBLE,1,1,0,False,-1
370,SINGLE,1,0,0,False,-1
371,TRIPLE,1,1,1,False,-1
372,DOUBLE,1,1,0,False,-1
373,DOUBLE,1,1,0,False,-1
374,TRIPLE,1,1,1,False,-1
375,TRIPLE,1,1,1,False,-1
376,SINGLE,1,0,0,False,-1
377,DOUBLE,1,1,0,False,-1
378,DOUBLE,1,1,0,False,-1
379,TRIPLE,1,1,1,False,-1
380,DOUBLE,1,1,0,False,-1
381,TRIPLE,1,1,1,False,-1
382,TRIPLE,1,1,1,False,-1
383,TRIPLE,1,1,1,False,-1
384,SINGLE,1,0,0,False,-1
385,TRIPLE,1,1,1,False,-1
386,TRIPLE,1,1,1,False,-1
387,TRIPLE,1,1,1,False,-1
388,TRIPLE,1,1,1,False,-1
389,TRIPLE,1,1,1,False,-1
390,SINGLE,1,0,0,False,-1
391,TRIPLE,1,1,1,False,-1
392,DOUBLE,1,1,0,False,-1
393,DOUBLE,1,1,0,False,-1
394,TRIPLE,1,1,1,False,-1
395,DOUBLE,1,1,0,False,-1
396,TRIPLE,1,1,1,False,-1
397,DOUBLE,1,1,0,False,-1
398,DOUBLE,1,1,0,False,-1
399,SINGLE,1,0,0,False,-1
400,DOUBLE,1,1,0,False,-1
401,TRIPLE,1,1,1,False,-1
402,TRIPLE,1,1,1,False,-1
403,TRIPLE,1,1,1,False,-1
404,TRIPLE,1,1,1,False,-1
405,TRIPLE,1,1,1,False,-1
406,TRIPLE,1,1,1,False,-1
407,DOUBLE,1,1,0,False,-1
408,DOUBLE,1,1,0,False,-1
409,DOUBLE,1,1,0,False,-1
410,SINGLE,1,0,0,False,-1
411,DOUBLE,1,1,0,False,-1
412,DOUBLE,1,1,0,False,-1
413,TRIPLE,1,1,1,False,-1
414,DOUBLE,1,1,0,False,-1
415,TRIPLE,1,1,1,False,-1
416,DOUBLE,1,1,0,False,-1
417,TRIPLE,1,1,1,False,-1
418,DOUBLE,1,1,0,False,-1
419,TRIPLE,1,1,1,False,-1
420,TRIPLE,1,1,1,False,-1
421,TRIPLE,1,1,1,False,-1
422,TRIPLE,1,1,1,False,-1
423,DOUBLE,1,1,0,False,-1
424,DOUBLE,1,1,0,False,-1
425,DOUBLE,1,1,0,False,-1
426,TRIPLE,1,1,1,False,-1
427,DOUBLE,1,1,0,False,-1
428,DOUBLE,1,1,0,False,-1
429,SINGLE,1,0,0,False,-1
430,TRIPLE,1,1,1,False,-1
431,TRIPLE,1,1,1,False,-1
432,DOUBLE,1,1,0,False,-1
433,TRIPLE,1,1,1,False,-1
434,SINGLE,1,0,0,False,-1
435,SINGLE,1,0,0,False,-1
436,TRIPLE,1,1,1,False,-1
437,DOUBLE,1,1,0,False,-1
438,DOUBLE,1,1,0,False,-1
439,DOUBLE,1,1,0,False,-1
440,SINGLE,1,0,0,False,-1
441,DOUBLE,1,1,0,False,-1
442,DOUBLE,1,1,0,False,-1
443,DOUBLE,1,1,0,False,-1
444,TRIPLE,1,1,1,False,-1
445,DOUBLE,1,1,0,False,-1
446,DOUBLE,1,1,0,False,-1
447,TRIPLE,1,1,1,False,-1
448,TRIPLE,1,1,1,False,-1
449,TRIPLE,1,1,1,False,-1
450,TRIPLE,1,1,1,False,-1
451,DOUBLE,1,1,0,False,-1
452,TRIPLE,1,1,1,False,-1
453,TRIPLE,1,1,1,False,-1
454,TRIPLE,1,1,1,False,-1
455,TRIPLE,1,1,1,False,-1
456,SINGLE,1,0,0,False,-1
457,SINGLE,1,0,0,False,-1
458,TRIPLE,1,1,1,False,-1
459,TRIPLE,1,1,1,False,-1
460,DOUBLE,1,1,0,False,-1
461,SINGLE,1,0,0,False,-1
462,SINGLE,1,0,0,False,-1
463,TRIPLE,1,1,1,False,-1
464,SINGLE,1,0,0,False,-1
465,DOUBLE,1,1,0,False,-1
466,SINGLE,1,0,0,False,-1
467,TRIPLE,1,1,1,False,-1
468,TRIPLE,1,1,1,False,-1
469,SINGLE,1,0,0,False,-1
470,TRIPLE,1,1,1,False,-1
471,TRIPLE,1,1,1,False,-1
472,DOUBLE,1,1,0,False,-1
473,TRIPLE,1,1,1,False,-1
474,TRIPLE,1,1,1,False,-1
475,DOUBLE,1,1,0,False,-1
476,TRIPLE,1,1,1,False,-1
477,DOUBLE,1,1,0,False,-1
478,TRIPLE,1,1,1,False,-1
479,TRIPLE,1,1,1,False,-1
480,SINGLE,1,0,0,False,-1
481,TRIPLE,1,1,1,False,-1
482,TRIPLE,1,1,1,False,-1
483,TRIPLE,1,1,1,False,-1
484,TRIPLE,1,1,1,False,-1
485,SINGLE,1,0,0,False,-1
486,TRIPLE,1,1,1,False,-1
487,TRIPLE,1,1,1,False,-1
488,TRIPLE,1,1,1,False,-1
489,TRIPLE,1,1,1,False,-1
490,DOUBLE,1,1,0,False,-1
491,TRIPLE,1,1,1,False,-1
492,SINGLE,1,0,0,False,-1
493,TRIPLE,1,1,1,False,-1
494,TRIPLE,1,1,1,False,-1
495,TRIPLE,1,1,1,False,-1
496,DOUBLE,1,1,0,False,-1
497,DOUBLE,1,1,0,False,-1
498,TRIPLE,1,1,1,False,-1
499,TRIPLE,1,1,1,False,-1
500,TRIPLE,1,1,1,False,-1
501,TRIPLE,1,1,1,False,-1
502,TRIPLE,1,1,1,False,-1
503,TRIPLE,1,1,1,False,-1
504,TRIPLE,1,1,1,False,-1
505,DOUBLE,1,1,0,False,-1
506,TRIPLE,1,1,1,False,-1
507,DOUBLE,1,1,0,False,-1
508,SINGLE,1,0,0,False,-1
509,TRIPLE,1,1,1,False,-1
510,TRIPLE,1,1,1,False,-1
511,SINGLE,1,0,0,False,-1
512,DOUBLE,1,1,0,False,-1
513,TRIPLE,1,1,1,False,-1
514,DOUBLE,1,1,0,False,-1
515,TRIPLE,1,1,1,False,-1
516,TRIPLE,1,1,1,False,-1
517,TRIPLE,1,1,1,False,-1
518,SINGLE,1,0,0,False,-1
519,TRIPLE,1,1,1,False,-1
520,SINGLE,1,0,0,False,-1
521,TRIPLE,1,1,1,False,-1
522,TRIPLE,1,1,1,False,-1
523,TRIPLE,1,1,1,False,-1
524,TRIPLE,1,1,1,False,-1
525,TRIPLE,1,1,1,False,-1
526,SINGLE,1,0,0,False,-1
527,TRIPLE,1,1,1,False,-1
528,SINGLE,1,0,0,False,-1
529,TRIPLE,1,1,1,False,-1
530,DOUBLE,1,1,0,False,-1
531,SINGLE,1,0,0,False,-1
532,DOUBLE,1,1,0,False,-1
533,TRIPLE,1,1,1,False,-1
534,TRIPLE,1,1,1,False,-1
535,TRIPLE,1,1,1,False,-1
536,DOUBLE,1,1,0,False,-1
537,SINGLE,1,0,0,False,-1
538,TRIPLE,1,1,1,False,-1
539,DOUBLE,1,1,0,False,-1
540,DOUBLE,1,1,0,False,-1
541,TRIPLE,1,1,1,False,-1
542,TRIPLE,1,1,1,False,-1
543,TRIPLE,1,1,1,False,-1
544,DOUBLE,1,1,0,False,-1
545,DOUBLE,1,1,0,False,-1
546,TRIPLE,1,1,1,False,-1
547,DOUBLE,1,1,0,False,-1
548,SINGLE,1,0,0,False,-1
549,TRIPLE,1,1,1,False,-1
550,TRIPLE,1,1,1,False,-1
551,DOUBLE,1,1,0,False,-1
552,DOUBLE,1,1,0,False,-1
553,SINGLE,1,0,0,False,-1
554,TRIPLE,1,1,1,False,-1
555,TRIPLE,1,1,1,False,-1
556,TRIPLE,1,1,1,False,-1
557,DOUBLE,1,1,0,False,-1
558,TRIPLE,1,1,1,False,-1
559,DOUBLE,1,1,0,False,-1
560,SINGLE,1,0,0,False,-1
561,DOUBLE,1,1,0,False,-1
562,TRIPLE,1,1,1,False,-1
563,TRIPLE,1,1,1,False,-1
564,TRIPLE,1,1,1,False,-1
565,TRIPLE,1,1,1,False,-1
566,TRIPLE,1,1,1,False,-1
567,TRIPLE,1,1,1,False,-1
568,DOUBLE,1,1,0,False,-1
569,TRIPLE,1,1,1,False,-1
570,DOUBLE,1,1,0,False,-1
571,TRIPLE,1,1,1,False,-1
572,TRIPLE,1,1,1,False,-1
573,TRIPLE,1,1,1,False,-1
574,TRIPLE,1,1,1,False,-1
575,TRIPLE,1,1,1,False,-1
576,TRIPLE,1,1,1,False,-1
577,TRIPLE,1,1,1,False,-1
578,TRIPLE,1,1,1,False,-1
579,TRIPLE,1,1,1,False,-1
580,DOUBLE,1,1,0,False,-1
581,TRIPLE,1,1,1,False,-1
582,TRIPLE,1,1,1,False,-1
583,DOUBLE,1,1,0,False,-1
584,SINGLE,1,0,0,False,-1
585,DOUBLE,1,1,0,False,-1
586,SINGLE,1,0,0,False,-1
587,SINGLE,1,0,0,False,-1
588,DOUBLE,1,1,0,False,-1
589,DOUBLE,1,1,0,False,-1
590,DOUBLE,1,1,0,False,-1
591,TRIPLE,1,1,1,False,-1
592,SINGLE,1,0,0,False,-1
593,DOUBLE,1,1,0,False,-1
594,TRIPLE,1,1,1,False,-1
595,TRIPLE,1,1,1,False,-1
596,TRIPLE,1,1,1,False,-1
597,TRIPLE,1,1,1,False,-1
598,TRIPLE,1,1,1,False,-1
599,TRIPLE,1,1,1,False,-1
600,DOUBLE,1,1,0,False,-1
601,TRIPLE,1,1,1,False,-1
602,TRIPLE,1,1,1,False,-1
603,TRIPLE,1,1,1,False,-1
604,DOUBLE,1,1,0,False,-1
605,TRIPLE,1,1,1,False,-1
606,TRIPLE,1,1,1,False,-1
607,TRIPLE,1,1,1,False,-1
608,TRIPLE,1,1,1,False,-1
609,DOUBLE,1,1,0,False,-1
610,SINGLE,1,0,0,False,-1
611,TRIPLE,1,1,1,False,-1
612,DOUBLE,1,1,0,False,-1
613,DOUBLE,1,1,0,False,-1
614,DOUBLE,1,1,0,False,-1
615,TRIPLE,1,1,1,False,-1
616,TRIPLE,1,1,1,False,-1
617,DOUBLE,1,1,0,False,-1
618,TRIPLE,1,1,1,False,-1
619,TRIPLE,1,1,1,False,-1
620,DOUBLE,1,1,0,False,-1
621,TRIPLE,1,1,1,False,-1
622,TRIPLE,1,1,1,False,-1
623,SINGLE,1,0,0,False,-1
624,TRIPLE,1,1,1,False,-1
625,TRIPLE,1,1,1,False,-1
626,TRIPLE,1,1,1,False,-1
627,DOUBLE,1,1,0,False,-1
628,DOUBLE,1,1,0,False,-1
629,TRIPLE,1,1,1,False,-1
630,TRIPLE,1,1,1,False,-1
631,DOUBLE,1,1,0,False,-1
632,DOUBLE,1,1,0,False,-1
633,TRIPLE,1,1,1,False,-1
634,TRIPLE,1,1,1,False,-1
635,TRIPLE,1,1,1,False,-1
636,TRIPLE,1,1,1,False,-1
637,TRIPLE,1,1,1,False,-1
638,TRIPLE,1,1,1,False,-1
639,DOUBLE,1,1,0,False,-1
640,TRIPLE,1,1,1,False,-1
641,TRIPLE,1,1,1,False,-1
642,TRIPLE,1,1,1,False,-1
643,TRIPLE,1,1,1,False,-1
644,TRIPLE,1,1,1,False,-1
645,TRIPLE,1,1,1,False,-1
646,TRIPLE,1,1,1,False,-1
647,DOUBLE,1,1,0,False,-1
648,DOUBLE,1,1,0,False,-1
649,TRIPLE,1,1,1,False,-1
650,DOUBLE,1,1,0,False,-1
651,DOUBLE,1,1,0,False,-1
652,DOUBLE,1,1,0,False,-1
653,DOUBLE,1,1,0,False,-1
654,TRIPLE,1,1,1,False,-1
655,TRIPLE,1,1,1,False,-1
656,SINGLE,1,0,0,False,-1
657,TRIPLE,1,1,1,False,-1
658,TRIPLE,1,1,1,False,-1
659,TRIPLE,1,1,1,False,-1
660,TRIPLE,1,1,1,False,-1
661,TRIPLE,1,1,1,False,-1
662,SINGLE,1,0,0,False,-1
663,SINGLE,1,0,0,False,-1
664,SINGLE,1,0,0,False,-1
665,DOUBLE,1,1,0,False,-1
666,DOUBLE,1,1,0,False,-1
667,TRIPLE,1,1,1,False,-1
668,TRIPLE,1,1,1,False,-1
669,DOUBLE,1,1,0,False,-1
670,TRIPLE,1,1,1,False,-1
671,DOUBLE,1,0,1,False,-1
672,TRIPLE,1,1,1,False,-1
673,TRIPLE,1,1,1,False,-1
674,DOUBLE,1,1,0,False,-1
675,DOUBLE,1,1,0,False,-1
676,TRIPLE,1,1,1,False,-1
677,TRIPLE,1,1,1,False,-1
678,TRIPLE,1,1,1,False,-1
679,TRIPLE,1,1,1,False,-1
680,TRIPLE,1,1,1,False,-1
681,TRIPLE,1,1,1,False,-1
682,TRIPLE,1,1,1,False,-1
683,DOUBLE,1,1,0,False,-1
684,TRIPLE,1,1,1,False,-1
685,TRIPLE,1,1,1,False,-1
686,TRIPLE,1,1,1,False,-1
687,TRIPLE,1,1,1,False,-1
688,DOUBLE,1,1,0,False,-1
689,TRIPLE,1,1,1,False,-1
